ticker,market_cap
MMM,1387
AOS,108
ABT,1021
ABBV,1814
ACN,988
ATVI,525
AYI,62
ADBE,946
AAP,81
AMD,112
AES,69
AET,592
AMG,104
AFL,334
A,220
APD,346
AKAM,109
ALK,79
ALB,118
ARE,120
ALXN,262
ALGN,188
ALLE,76
AGN,567
ADS,136
LNT,87
ALL,348
GOOGL,7338
GOOG,7285
MO,1270
AMZN,6859
AEE,129
AAL,246
AEP,317
AXP,804
AIG,544
AMT,592
AWK,139
AMP,235
ABC,206
AME,171
AMGN,1281
APH,270
APC,321
ADI,318
ANDV,157
ANSS,132
ANTM,612
AON,351
APA,151
AIV,62
AAPL,8095
AMAT,513
APTV,249
ADM,236
ARNC,121
AJG,120
AIZ,47
T,2267
ADSK,243
ADP,503
AZO,199
AVB,219
AVY,101
BHGE,330
BLL,138
BAC,3215
BAX,357
BBT,421
BDX,509
BRK.B,2614
BBY,208
BIIB,692
BLK,859
HRB,54
BA,2056
BWA,116
BXP,178
BSX,361
BHF,71
BMY,1025
AVGO,928
BF.B,55
CHRW,129
CA,142
COG,108
CDNS,109
CPB,135
COF,476
CAH,205
KMX,118
CCL,492
CAT,918
CBOE,130
CBG,144
CBS,204
CELG,749
CNC,180
CNP,114
CTL,182
CERN,211
CF,92
SCHW,698
CHTR,867
CHK,26
CVX,2190
CMG,77
CB,684
CHD,118
CI,477
XEC,101
CINF,119
CTAS,167
CSCO,1994
C,1927
CFG,220
CTXS,132
CME,544
CMS,119
KO,1899
CTSH,451
CL,616
CMCSA,1865
CMA,163
CAG,144
CXO,220
COP,655
ED,233
STZ,417
GLW,258
COST,804
COTY,131
CCI,442
CSRA,51
CSX,473
CMI,287
CVS,753
DHI,174
DHR,664
DRI,117
DVA,137
DE,522
DAL,384
XRAY,134
DVN,193
DLR,214
DFS,274
DISCA,88
DISCK,83
DISH,210
DG,266
DLTR,252
D,475
DOV,156
DWDP,1652
DPS,212
DTE,178
DUK,521
DRE,90
DXC,274
ETFC,138
EMN,142
ETN,360
EBAY,442
ECL,385
EIX,194
EW,274
EA,379
EMR,440
ETR,131
EVHC,42
EOG,612
EQT,126
EFX,141
EQIX,333
EQR,209
ESS,144
EL,495
RE,101
ES,180
EXC,347
EXPE,197
EXPD,110
ESRX,424
EXR,101
XOM,3261
FFIV,87
FB,5234
FAST,153
FRT,81
FDX,673
FIS,323
FITB,224
FE,137
FISV,269
FLIR,67
FLS,54
FLR,80
FMC,113
FL,58
F,424
FTV,249
FBHS,96
BEN,218
FCX,259
GPS,127
GRMN,118
IT,108
GD,642
GE,1322
GGP,210
GIS,311
GM,615
GPC,146
GILD,1081
GPN,169
GS,970
GT,82
GWW,146
HAL,434
HBI,80
HOG,82
HRS,181
HIG,199
HAS,127
HCA,344
HCP,110
HP,73
HSIC,115
HES,140
HPE,248
HLT,262
HOLX,112
HD,2234
HON,1144
HRL,173
HST,144
HPQ,349
HUM,370
HBAN,168
HII,106
IDXX,154
INFO,180
ITW,560
ILMN,323
INCY,182
IR,228
INTC,2115
ICE,414
IBM,1424
IP,245
IPG,83
IFF,113
INTU,412
ISRG,449
IVZ,136
IQV,204
IRM,94
JBHT,129
JEC,93
SJM,136
JNJ,3531
JCI,348
JPM,3866
JNPR,93
KSU,110
K,222
KEY,226
KMB,394
KIM,62
KMI,386
KLAC,161
KSS,106
KHC,896
KR,255
LB,139
LLL,162
LH,173
LRCX,280
LEG,60
LEN,146
LUK,89
LLY,845
LNC,171
LKQ,125
LMT,981
L,161
LOW,829
LYB,436
MTB,278
MAC,85
M,75
MRO,139
MPC,316
MAR,509
MMC,418
MLM,138
MAS,134
MA,1871
MAT,58
MKC,135
MCD,1321
MCK,315
MDT,1101
MRK,1522
MET,487
MTD,164
MGM,196
KORS,101
MCHP,194
MU,486
MSFT,6900
MAA,100
MHK,199
TAP,124
MDLZ,658
MON,531
MNST,364
MCO,302
MS,975
MSI,166
MYL,217
NDAQ,128
NOV,129
NAVI,37
NTAP,154
NFLX,1148
NWL,144
NFX,57
NEM,197
NWSA,94
NWS,95
NEE,697
NLSN,134
NKE,1068
NI,78
NBL,132
JWN,82
NSC,405
NTRS,229
NOC,588
NCLH,132
NRG,80
NUE,200
NVDA,1387
ORLY,214
OXY,535
OMC,174
OKE,220
ORCL,2023
PCAR,242
PKG,111
PH,244
PDCO,32
PAYX,233
PYPL,907
PNR,125
PBCT,65
PEP,1614
PKI,84
PRGO,123
PFE,2085
PCG,203
PM,1536
PSX,480
PNW,84
PXD,300
PNC,733
RL,88
PPG,290
PPL,208
PX,429
PCLN,918
PFG,185
PG,2063
PGR,311
PLD,320
PRU,471
PEG,241
PSA,323
PHM,88
PVH,115
QRVO,99
QCOM,963
PWR,53
DGX,136
RRC,33
RJF,132
RTN,591
O,138
RHT,228
REG,99
REGN,360
RF,215
RSG,216
RMD,132
RHI,70
ROK,241
COL,222
ROP,272
ROST,298
RCL,274
SPGI,466
CRM,795
SBAC,196
SCG,52
SLB,965
SNI,113
STX,141
SEE,80
SRE,262
SHW,377
SIG,30
SPG,481
SWKS,185
SLG,86
SNA,95
SO,435
LUV,344
SWK,245
SBUX,765
STT,381
SRCL,62
SYK,575
STI,325
SYMC,165
SYF,289
SNPS,128
SYY,304
TROW,258
TPR,142
TGT,398
TEL,350
FTI,142
TXN,1003
TXT,153
BK,561
CLX,165
COO,113
HSY,209
MOS,97
TRV,389
DIS,1578
TMO,832
TIF,128
TWX,742
TJX,482
TMK,96
TSS,157
TSCO,85
TDG,152
TRIP,57
FOXA,440
FOX,661
TSN,270
USB,909
UDR,91
ULTA,133
UAA,59
UA,54
UNP,1015
UAL,194
UNH,2188
UPS,964
URI,147
UTX,1054
UHS,111
UNM,113
VFC,318
VLO,393
VAR,107
VTR,189
VRSN,108
VRSK,156
VZ,2081
VRTX,394
VIAB,106
V,2700
VNO,128
VMC,170
WMT,3047
WBA,709
WM,355
WAT,161
WEC,189
WFC,2815
HCN,209
WDC,248
WU,90
WRK,164
WY,261
WHR,122
WMB,248
WLTW,208
WYN,120
WYNN,182
XEL,216
XRX,79
XLNX,171
XL,108
XYL,129
YUM,270
ZBH,245
ZION,107
ZTS,360